12:00
291:[288, 256, 232, 328, 276, 316, 268, 368]
282:[248, 252, 228, 336, 220, 304, 284, 388]
287:[280, 268, 216, 308, 268, 324, 256, 380]
287:[268, 260, 224, 336, 248, 300, 272, 392]
276:[212, 244, 296, 304, 200, 288, 316, 348]
197:[164, 168, 164, 212, 168, 212, 204, 284]
193:[164, 160, 136, 208, 176, 204, 208, 288]
117:[92, 84, 92, 136, 92, 96, 136, 208]
100:[72, 72, 80, 120, 72, 96, 108, 184]
94:[64, 56, 68, 124, 80, 80, 100, 180]
395:[932, 1020, 472, 256, 96, 100, 104, 184]
108:[76, 68, 88, 124, 72, 124, 120, 192]
328:[96, 336, 1020, 676, 120, 84, 108, 184]
91:[64, 60, 68, 108, 56, 80, 100, 196]
148:[104, 128, 132, 172, 96, 152, 192, 212]
117:[80, 92, 104, 136, 72, 116, 136, 204]
106:[60, 88, 100, 116, 72, 100, 132, 184]
106:[64, 84, 96, 120, 84, 112, 124, 164]
118:[68, 100, 104, 140, 96, 124, 140, 172]
147:[104, 144, 144, 148, 88, 164, 192, 196]
128:[104, 112, 100, 112, 92, 140, 148, 216]
112:[56, 108, 120, 116, 64, 104, 148, 184]
137:[88, 116, 116, 128, 76, 168, 172, 232]
134:[92, 140, 112, 144, 108, 112, 164, 204]
135:[108, 140, 120, 140, 84, 120, 180, 192]
121:[64, 104, 108, 132, 76, 116, 168, 200]
124:[64, 112, 132, 148, 80, 136, 148, 176]
106:[84, 80, 84, 132, 80, 104, 104, 184]
264:[204, 228, 224, 304, 224, 264, 312, 352]
157:[120, 124, 136, 184, 112, 156, 176, 252]
136:[120, 108, 92, 136, 108, 132, 152, 244]
